ptid,lon,lat,cls,cls_name,stratum,z_recent,image_source,image_date,px_agree,px_confidence,px_cover,edge
562,121.36803,25.13667,3,Bamboo,flagged,10.66,GE+S2,2026-02-14,Y,2,bamboo,Y
624,120.63372,23.63831,3,Bamboo,flagged,10.15,GE+S2,hist2025-05-05,Y,3,bamboo,Y
530,121.74523,25.02726,3,Bamboo,flagged,9.83,GE+S2,2026-05-27,N,3,nonforest,Y
358,121.07331,23.46724,2,Conifer,flagged,9.64,GE+S2,2023-12-25,Y,3,conifer,Y
456,120.95955,23.65079,2,Conifer,flagged,6.5,GE+S2,2023-12-12,U,3,unknown,
348,121.15158,23.54251,2,Conifer,flagged,6.32,GE+S2,2025-08-08,N,3,nonforest,Y
633,121.14496,24.89342,3,Bamboo,flagged,5.75,GE+S2,2026-07-18,N,2,mixed,Y
512,121.4028,25.13758,3,Bamboo,flagged,5.52,GE+S2,2026-05-27,N,3,mixed,Y
558,120.95264,24.38009,3,Bamboo,flagged,5.25,GE+S2,2025-01-10,N,2,mixed,
516,120.55551,24.04576,3,Bamboo,flagged,4.98,GE+S2,2026-05-07,Y,3,bamboo,Y
621,121.61941,25.17825,3,Bamboo,flagged,4.84,GE+S2,2026-05-27,Y,2,bamboo,Y
706,120.41218,23.12132,3,Bamboo,flagged,4.62,GE+S2,2024-07-02,U,,,
555,120.66337,23.70635,3,Bamboo,flagged,4.5,GE+S2,2024-11-09,Y,3,bamboo,Y
373,121.42916,24.31307,2,Conifer,flagged,4.47,GE+S2,hist2020-12-31,Y,3,conifer,Y
376,121.24288,23.59214,2,Conifer,flagged,4.35,GE+S2,2025-09-27,Y,3,conifer,Y
363,120.95808,23.48339,2,Conifer,flagged,4.23,GE+S2,2023-11-03,Y,2,conifer,N
600,121.13555,24.8452,3,Bamboo,flagged,3.79,GE+S2,2026-05-17,U,,,
225,121.14668,22.7681,1,Broadleaf,flagged,3.7,GE+S2,2026-04-23,N,3,nonforest,
663,120.87505,24.6477,3,Bamboo,flagged,3.59,GE+S2,2025-04-03,Y,3,bamboo,Y
725,120.93578,24.47517,3,Bamboo,flagged,3.53,GE+S2,2025-01-10,Y,2,bamboo,Y
529,121.38982,24.9798,3,Bamboo,random,3.05,GE+S2,2026-05-17,Y,3,bamboo,Y
509,120.91597,23.8839,3,Bamboo,random,0.86,GE+S2,2026-01-06,Y,3,bamboo,N
603,121.00551,23.86139,3,Bamboo,random,0.95,GE+S2,2026-01-06,U,,,
619,120.94834,24.70226,3,Bamboo,random,2.42,GE+S2,2025-04-03,U,,,
614,121.57125,24.66899,3,Bamboo,random,0.97,GE+S2,2023-06-21,N,1,mixed,
686,121.37879,24.96395,3,Bamboo,random,1.07,GE+S2,2026-05-17,Y,3,bamboo,Y
715,121.36839,24.8648,3,Bamboo,random,0.58,GE+S2,2026-05-27,Y,2,bamboo,Y
595,121.74493,25.02882,3,Bamboo,random,1.73,GE+S2,2026-05-27,Y,2,bamboo,Y
513,121.01387,24.71283,3,Bamboo,random,0.96,GE+S2,2025-05-02,N,2,mixed,N
655,121.6896,25.11218,3,Bamboo,random,0.7,GE+S2,2026-05-27,Y,3,bamboo,N
551,120.78592,23.91026,3,Bamboo,random,0.43,GE+S2,2026-07-15,Y,3,bamboo,N
720,120.9325,24.37741,3,Bamboo,random,1.17,GE+S2,2025-01-10,U,,,
132,120.50227,23.22985,1,Broadleaf,random,0.76,GE+S2,2024-04-02,Y,2,mixed,Y
30,121.23425,24.08396,1,Broadleaf,random,1.13,GE+S2,2024-10-06,U,,,
93,120.7919,22.21845,1,Broadleaf,random,1.41,GE+S2,2026-04-23,Y,2,broadleaf,N
234,120.77448,21.97977,1,Broadleaf,random,2.09,GE+S2,hist2023-11-03,N,3,nonforest,
55,121.03318,22.71779,1,Broadleaf,random,1.33,GE+S2,2025-06-15,Y,2,broadleaf,Y
68,120.39446,22.84078,1,Broadleaf,random,1.18,GE+S2,2026-05-24,N,3,nonforest,N
188,120.34289,22.8172,1,Broadleaf,random,0.67,GE+S2,2026-07-13,N,1,mixed,
240,120.76944,22.77005,1,Broadleaf,random,0.81,GE+S2,hist2023-09-25,Y,2,broadleaf,Y
70,120.93962,22.46081,1,Broadleaf,random,0.86,GE+S2,2024-05-01,Y,3,mixed,
58,120.43369,23.17767,1,Broadleaf,random,1.47,GE+S2,2024-07-02,Y,1,broadleaf,Y
366,121.31137,24.25579,2,Conifer,random,0.18,GE+S2,2026-03-12,Y,1,conifer,
437,120.94573,23.59767,2,Conifer,random,0.38,GE+S2,2023-12-12,Y,3,conifer,N
282,121.19341,23.5604,2,Conifer,random,2.3,GE+S2,2025-09-27,Y,3,conifer,N
372,121.06834,23.55595,2,Conifer,random,1.14,GE+S2,hist2023-12-25,U,2,,
446,121.05106,24.31155,2,Conifer,random,0.35,GE+S2,2023-12-12,U,,,
310,120.95765,24.13732,2,Conifer,random,1.99,GE+S2,2024-12-12,Y,2,conifer,N
308,121.48446,24.12473,2,Conifer,random,2.03,GE+S2,2025-09-27,N,2,mixed,N
451,120.88134,23.14499,2,Conifer,random,1.58,GE+S2,2025-12-11,Y,2,conifer,N
