system:index,cls,date,sensor,value,.geo
1_0_20230115T023041_20230115T023728_T50QRL,Broadleaf,2023-01-15,S2_NDMI,0.00722891566265055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230115T023041_20230115T023728_T51QTF,Broadleaf,2023-01-15,S2_NDMI,0.017608409986859353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230125T023001_20230125T023649_T50QRL,Broadleaf,2023-01-25,S2_NDMI,0.027231467473524975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230125T023001_20230125T023649_T51QTF,Broadleaf,2023-01-25,S2_NDMI,0.03493013972055892,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230130T022939_20230130T023625_T50QRL,Broadleaf,2023-01-30,S2_NDMI,0.12236646094913811,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230130T022939_20230130T023625_T51QTF,Broadleaf,2023-01-30,S2_NDMI,0.14080338266384776,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230209T022839_20230209T024114_T50QRL,Broadleaf,2023-02-09,S2_NDMI,0.05297098111469367,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230209T022839_20230209T024114_T51QTF,Broadleaf,2023-02-09,S2_NDMI,0.05316689782709199,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230219T022739_20230219T023549_T50QRL,Broadleaf,2023-02-19,S2_NDMI,-0.00991033506370932,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230219T022739_20230219T023549_T51QTF,Broadleaf,2023-02-19,S2_NDMI,0.017503978176858406,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230224T022701_20230224T023934_T50QRL,Broadleaf,2023-02-24,S2_NDMI,-0.005635873560401854,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230224T022701_20230224T023934_T51QTF,Broadleaf,2023-02-24,S2_NDMI,0.012924844423169018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230301T022629_20230301T023903_T50QRL,Broadleaf,2023-03-01,S2_NDMI,0.039566847147022056,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230301T022629_20230301T023903_T51QTF,Broadleaf,2023-03-01,S2_NDMI,0.054247266610597124,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230306T022551_20230306T023822_T50QRL,Broadleaf,2023-03-06,S2_NDMI,6.876002750400979E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230306T022551_20230306T023822_T51QTF,Broadleaf,2023-03-06,S2_NDMI,0.018321646686270066,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230311T022539_20230311T023347_T50QRL,Broadleaf,2023-03-11,S2_NDMI,-0.006523157208088721,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230311T022539_20230311T023347_T51QTF,Broadleaf,2023-03-11,S2_NDMI,0.006754583467352817,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230321T022529_20230321T023806_T50QRL,Broadleaf,2023-03-21,S2_NDMI,-0.00977777777777781,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230405T022531_20230405T023803_T50QRL,Broadleaf,2023-04-05,S2_NDMI,-0.09401709401709403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230405T022531_20230405T023803_T51QTF,Broadleaf,2023-04-05,S2_NDMI,-0.08376375477206378,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230410T022529_20230410T023805_T50QRL,Broadleaf,2023-04-10,S2_NDMI,-0.035217391304347874,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230410T022529_20230410T023805_T51QTF,Broadleaf,2023-04-10,S2_NDMI,-0.025048169556840052,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230415T022531_20230415T023435_T50QRL,Broadleaf,2023-04-15,S2_NDMI,-0.07871125611745519,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230415T022531_20230415T023435_T51QTF,Broadleaf,2023-04-15,S2_NDMI,-0.03669532396728877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230430T022529_20230430T023801_T50QRL,Broadleaf,2023-04-30,S2_NDMI,-0.03928571428571431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230430T022529_20230430T023801_T51QTF,Broadleaf,2023-04-30,S2_NDMI,-0.031218930204812017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230520T022539_20230520T023805_T50QRL,Broadleaf,2023-05-20,S2_NDMI,0.010108864696734025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230520T022539_20230520T023805_T51QTF,Broadleaf,2023-05-20,S2_NDMI,0.016557566422795524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230525T022531_20230525T023627_T50QRL,Broadleaf,2023-05-25,S2_NDMI,-0.00865979381443301,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230525T022531_20230525T023627_T51QTF,Broadleaf,2023-05-25,S2_NDMI,0.007602219026094121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230530T022539_20230530T023804_T50QRL,Broadleaf,2023-05-30,S2_NDMI,0.04803827751196169,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230530T022539_20230530T023804_T51QTF,Broadleaf,2023-05-30,S2_NDMI,0.05328798185941044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230604T022531_20230604T023804_T50QRL,Broadleaf,2023-06-04,S2_NDMI,0.05787965616045839,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230604T022531_20230604T023804_T51QTF,Broadleaf,2023-06-04,S2_NDMI,0.06284412378963355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230619T022539_20230619T023805_T50QRL,Broadleaf,2023-06-19,S2_NDMI,0.0939226519337017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230619T022539_20230619T023805_T51QTF,Broadleaf,2023-06-19,S2_NDMI,0.1175862781566439,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230624T022531_20230624T023804_T50QRL,Broadleaf,2023-06-24,S2_NDMI,0.07503578000408916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230624T022531_20230624T023804_T51QTF,Broadleaf,2023-06-24,S2_NDMI,0.09804703068951777,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230704T022541_20230704T023805_T50QRL,Broadleaf,2023-07-04,S2_NDMI,0.0741294595171972,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230704T022541_20230704T023805_T51QTF,Broadleaf,2023-07-04,S2_NDMI,0.10301507537688447,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230709T022539_20230709T023805_T50QRL,Broadleaf,2023-07-09,S2_NDMI,0.13162206444565816,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230709T022539_20230709T023805_T51QTF,Broadleaf,2023-07-09,S2_NDMI,0.15330766538326918,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230714T022541_20230714T023722_T50QRL,Broadleaf,2023-07-14,S2_NDMI,0.11771461383864479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230724T022541_20230724T023805_T50QRL,Broadleaf,2023-07-24,S2_NDMI,0.11135135135135138,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230724T022541_20230724T023805_T51QTF,Broadleaf,2023-07-24,S2_NDMI,0.1382216603455542,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230823T022541_20230823T023105_T50QRL,Broadleaf,2023-08-23,S2_NDMI,0.05838354456679823,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230823T022541_20230823T023105_T51QTF,Broadleaf,2023-08-23,S2_NDMI,0.06273369339426678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230828T022539_20230828T023034_T50QRL,Broadleaf,2023-08-28,S2_NDMI,0.056621215622833364,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230828T022539_20230828T023034_T51QTF,Broadleaf,2023-08-28,S2_NDMI,0.06882217090069283,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230922T022531_20230922T023802_T50QRL,Broadleaf,2023-09-22,S2_NDMI,0.06878744061144391,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20230922T022531_20230922T023802_T51QTF,Broadleaf,2023-09-22,S2_NDMI,0.06963329213020189,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20231101T022831_20231101T024100_T50QRL,Broadleaf,2023-11-01,S2_NDMI,0.08478568064060293,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20231101T022831_20231101T024100_T51QTF,Broadleaf,2023-11-01,S2_NDMI,0.11538461538461536,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20231106T022909_20231106T023554_T50QRL,Broadleaf,2023-11-06,S2_NDMI,0.07276402223345121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20231106T022909_20231106T023554_T51QTF,Broadleaf,2023-11-06,S2_NDMI,0.08015640273704788,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20231116T022949_20231116T023640_T50QRL,Broadleaf,2023-11-16,S2_NDMI,0.09204602301150576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20231116T022949_20231116T023640_T51QTF,Broadleaf,2023-11-16,S2_NDMI,0.0988103908715708,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20231121T023011_20231121T023934_T50QRL,Broadleaf,2023-11-21,S2_NDMI,0.08954851583936146,"{""type"":""MultiPoint"",""coordinates"":[]}"
