ptid,cls,NDRE_fstd1,NDRE_fstd2,NDRE_fstd4,NDVI_fstd2,NDVI_fstd4,glcm2_contrast,glcm2_ent,glcm2_idm,glcm2_var,glcm4_contrast,glcm4_ent,VH,VH_fstd2,L_HH,L_HV,L_HHHV,L_HV_fstd2
0,1,0.06929651906206971,0.0836317056581582,0.09396977722444928,0.12236194482265915,0.13173026200650692,107.80312500000001,3.5404842344895853,0.07709073797016794,64.72416992187391,77.31597222222223,4.745132588769493,-15.638279292113236,0.8412722163648906,-7.701540307002233,-14.620723385927548,6.919183078925315,1.1788842894499867
1,1,0.09853860599623897,0.09408907631199537,0.08827475365225602,0.1508847980742564,0.1314459969665343,126.78125000000001,3.464628914636534,0.13938839847625217,102.84914062500229,60.87803819444444,4.569778329468312,-18.68136822747637,1.2541524774311088,-2.7652087722336347,-11.050484202592457,8.285275430358823,2.541192758521423
2,1,0.024966662443743473,0.0334349342495884,0.06333563278088791,0.05193026318301322,0.0999613046324911,34.39375,3.4625051766765917,0.17545243202570443,30.04308593750102,38.91015625000001,4.519950230466735,-11.844911161062047,1.7698923789360574,-4.822796539654462,-8.693306324153738,3.8705097844992764,1.6713051270539676
3,1,0.025164657845224474,0.028110439175898137,0.027355993709281084,0.03614865120149438,0.03491587373830559,11.015625,3.035659402706452,0.3390746529900941,8.966865234373472,7.591145833333332,3.80352975004467,-16.431260367098467,0.9633262005059063,-3.8287223355606557,-6.644727354392643,2.816005018831987,4.5304688998802
4,1,0.07446637064237435,0.0712345763927927,0.10099691074647443,0.09396835796274106,0.13405662148696854,84.55625,3.473335601372841,0.1588287113335405,56.169335937500364,71.3519965277778,4.701044073346109,-17.947604668364704,2.299726745192938,-4.642540896023036,-15.044674877470996,10.40213398144796,2.239709643228941
5,1,0.009296170464779476,0.02572264308492368,0.061809421126542974,0.05248644670182415,0.09766841100620142,19.86875,3.1807870936361917,0.32511420577289624,13.174355468747308,28.788194444444443,4.425007317461426,-14.164123323514788,1.1530239210516016,-8.658245501459618,-11.898111028433618,3.2398655269740004,1.6168558698654603
6,1,0.05823384983937698,0.12731130810542218,0.18764971075536735,0.19351781492456985,0.2710541994149928,192.98125000000002,3.270169857614728,0.2627656513592984,257.7867187499987,162.6488715277778,4.448816294583896,-9.297977302449459,2.0729003879761247,-2.7872176652674057,-10.29635902687464,7.509141361607234,1.8961962569904385
7,1,0.023213057100002932,0.039175710035175275,0.04067351738227951,0.032675287280704506,0.03497745680097229,22.543750000000003,3.295674289375047,0.27961075402771135,18.782929687504293,15.944444444444443,4.342175962027946,-24.230716469813704,1.797363628995711,-5.5161639064185835,-12.145980611037785,6.629816704619202,3.275595227381921
8,1,0.038434391993016674,0.04185249622364365,0.050576280194056245,0.0469687526949659,0.06293962755760173,23.053124999999998,3.4863321110083394,0.20808176235491666,16.616904296873145,23.884982638888886,4.5885899724088794,-13.072150743960908,0.5198652011594942,-5.533587963692014,-10.15268838310054,4.619100419408525,1.861993538302719
9,1,0.06680474986545001,0.11050089529980563,0.1451949301856452,0.13357530882319726,0.19530155456441473,140.10312499999998,3.5491485742465843,0.12202285365364929,171.46436523437023,94.90017361111113,4.615966879279952,-14.043428399075271,1.2876306941817584,-3.1453959209171387,-7.94674113758056,4.801345216663421,3.2167939496077067
10,1,0.04301030597859881,0.04266600077001681,0.030754577033088697,0.03785545302645303,0.02447276949065203,19.928125,3.2393137339752434,0.2537319622363435,16.667021484371617,8.571614583333334,3.705663359049277,-20.061139807897,0.9076237106756134,-7.817223674376677,-9.778898302932419,1.9616746285557412,2.3489750387794044
11,1,0.034283345684407836,0.03663819135968586,0.041070980598888196,0.03642831167319853,0.04397459748446415,14.540625,3.397522628499096,0.23311195273327626,13.898779296875546,11.043836805555554,4.198035855170797,-14.289521990999981,0.5333453055089294,-7.82176215204052,-15.446591213313539,7.624829061273019,1.189637140244284
12,1,0.021317469076532376,0.021990240443044075,0.02368987619511137,0.011243431583527535,0.022110695386143922,9.4875,3.060505859038865,0.26198917695976515,4.378808593748545,13.692274305555555,4.037609345543092,-12.690581044961071,0.7558244702795565,-4.011223979269914,-9.5895168443584,5.5782928650884855,0.9377867976102418
13,1,0.06502054603075487,0.07129974938123106,0.07216863213141099,0.09299680266478441,0.10314556568271067,50.11875,3.4711695164335907,0.20611163490374737,48.48031249999622,47.5703125,4.639659903684223,-13.17127811584979,1.0232901738525222,-5.4020335133998,-12.506885752844454,7.104852239444654,1.796031524200547
14,1,0.009132040731626696,0.016356683276911563,0.03358378780404354,0.010564896693239663,0.03602950651924013,6.090624999999999,3.306993301581975,0.321147907239819,5.226708984370816,11.835069444444443,4.3372825386570835,-14.586224615131036,2.549422623272238,-11.257010034913122,-14.450277818084288,3.1932677831711658,1.6818123231929802
15,1,0.053513743564339376,0.08515418919024846,0.11050746873160139,0.12521149593968198,0.1602766875281925,69.28437500000001,3.5144912152185874,0.13107299310371653,93.16159179687475,52.73697916666666,4.703928568947464,-7.818071267658622,3.718165807201947,-8.616690118215729,-12.845580466287728,4.2288903480719995,2.062775709507396
16,1,0.024836192430954824,0.03251186035604919,0.055593946116850555,0.04069526875384216,0.063792219581234,13.621875000000001,3.217695231562053,0.321697045484729,14.318974609373072,15.239149305555557,4.300787493473846,-12.254414651737982,0.6522980649854023,-7.309080518909553,-11.123206778374566,3.814126259465013,2.7285124844647126
17,1,0.027210888527428992,0.031402196093072834,0.03602050721144044,0.03870755750422073,0.04350751233480649,8.4875,3.252394937569358,0.34965794301088426,8.533886718752001,9.024739583333332,4.159783997812443,-13.919221146038847,0.3171701677975125,-5.617713460412489,-12.496511443294565,6.878797982882077,1.3886961854410165
18,1,0.02766137302627912,0.07000688994055192,0.10137214084820265,0.09099773065789618,0.12981413700195307,56.03750000000001,3.48199994112984,0.16708339996683602,75.31599609374189,74.09678819444446,4.622148908266466,-19.539570222515387,1.445807384370962,-3.224363130927202,-7.392213430580952,4.16785029965375,2.1876835827703354
19,1,0.04887593302690448,0.04682175119803573,0.04489790205405198,0.07111598634857373,0.06771244935950646,20.453125,3.414851308013095,0.2513292265981556,21.719404296874927,21.65104166666667,4.440387193308056,-16.782844253216773,0.9113383916160382,-6.018986188609759,-14.032057930844644,8.013071742234885,1.6354670321351923
20,1,0.051011018240713,0.08236737249090073,0.09865075735995296,0.12881534671509934,0.14502391636223938,106.740625,3.5231555549755864,0.12075243516721212,75.09459960937465,112.19487847222221,4.824278384177818,-13.60432931654242,1.7722123632441042,-0.36890980477519975,-11.985651530614348,11.616741725839148,1.6182449633125289
21,1,0.026893970704593262,0.035728892244545424,0.0523497555165185,0.06806167424834138,0.09180341980851209,22.9,3.494996450765339,0.24805276895340414,15.302578125000764,28.059461805555564,4.522834726068091,-12.023096017551463,0.4317825761235813,-5.988300472959381,-11.129848213364696,5.141547740405315,1.4510069861194745
22,1,0.056142673341416795,0.09644686969849227,0.11405465662752146,0.1500363551727405,0.15856611531017625,84.6,3.538318149550335,0.07150135423366699,108.92576171875044,102.07682291666667,4.785457599299784,-14.713459594459062,0.899062888409066,-3.8239459320099485,-10.740086879353058,6.916140947343109,1.92566408708792
23,1,0.06224740899324899,0.08086169760657509,0.13304933523331117,0.10641464155201473,0.1888806121768947,107.22812499999999,3.3693635242888487,0.18758214868284845,109.98081054687327,132.22786458333334,4.705795617581753,-11.532926155630376,3.5630987053961576,-1.9484294991068367,-8.025388878030114,6.076959378923277,4.758217653270897
24,1,0.09251011697636789,0.12549326773463293,0.14054357684392876,0.17953965700916422,0.20604887654690643,128.521875,3.4949964507653393,0.08427787409374171,159.6290136718735,100.40494791666669,4.76295619236751,-12.60819723040997,2.8428821126998476,-8.937613075278435,-15.776780096099486,6.839167020821051,2.373452861188809
25,1,0.0634333399137356,0.08085628222860178,0.0979464638754968,0.11923502670838611,0.15644668753322286,114.83124999999998,3.520989470036336,0.16451961881654656,72.92591796875195,99.5776909722222,4.7888406366361345,-12.163260490930657,0.9863919259406608,-4.1737474927867595,-13.42001736653286,9.246269873746101,2.5301509608958193
26,1,0.023853537100588424,0.04486048755807219,0.06893220711414637,0.04781562810785237,0.08051420625493366,19.7,3.401854798377596,0.2486133281612481,22.033339843744216,26.55034722222222,4.491617854480175,-11.751664434576632,0.7530710879800998,-4.426963066926106,-13.68045263428354,9.253489567357434,1.9348385989086812
27,1,0.04887280373360113,0.05106004653781126,0.047563196275274694,0.06865312108409338,0.06459924398354189,26.28125,3.4061869682560952,0.23052723160856847,29.615839843751928,28.743923611111114,4.343441041543981,-14.416557411656822,0.8052260300729721,-6.1890962472632225,-15.170711763217938,8.981615515954715,2.144415995853695
28,1,0.03849259156290413,0.04308300594436909,0.04224100297173528,0.0566521089270615,0.04514541412016174,32.59375,3.4235156477700945,0.23049055272974542,21.994765624998763,24.25868055555555,4.287370699605853,-10.172004374372245,0.6662587612917223,1.6604301397538705,-4.658296187188654,6.3187263269425245,1.1434998935204161
