feature,gini,perm,group
elev,0.12928233132802106,0.04863599713234747,Terrain
NDMI_mean,0.04937006372860414,0.018743915473842458,Optical
slope,0.028905836764249366,0.008739743980619866,Terrain
NDMI_pha,0.039358203567199886,0.008457673844535139,Optical
NDVI_pha,0.024071618118004505,0.0060957331176309075,Optical
NBR_mean,0.028038989223232714,0.005978619832634413,Optical
RATIO_mean,0.029425262118235658,0.00591405013302821,SAR_static
NBR_amp,0.02031642407732053,0.00494162377374054,Optical
NDVI_mean,0.02030576918534891,0.0033947560954860024,Optical
reNDVI_mean,0.02800579088716883,0.002425754425754403,Optical
aspect_cos,0.017420580454494843,0.002419519718789771,Terrain
soilm_mean,0.019195163337612706,0.0014003871668105065,Climate
NDVI_amp,0.01496893955116702,0.0009765077210332595,Optical
NBR_pha,0.031237884233862544,0.0008159581152281641,Optical
RATIO_std,0.01646208146042511,0.0007453342781809761,SAR_static
NDMI_amp,0.017772028335020267,0.000194672340657729,Optical
dewdep,0.03317715515055257,-0.00023404446762113483,Climate
soilm_wet,0.015282905607497491,-0.00026432803075139945,Climate
precip_wet,0.01593129803125077,-0.0002934542934543183,Climate
precip_mm,0.02306794760888558,-0.0004990901779223185,Climate
RVI_mean,0.014773763764089436,-0.0009679314350847394,SAR_static
VH_amp,0.01859896294592684,-0.0010877912775723191,SAR_phenology
reNDVI_pha,0.020381220896789974,-0.0011787176896666106,Optical
VV_wetdry,0.015935895121233896,-0.0017918244925544413,SAR_phenology
RATIO_wetdry,0.015009360141791425,-0.0024999819890331046,SAR_phenology
VV_mean,0.014309030947413818,-0.0026005181333648734,SAR_static
reNDVI_amp,0.015843319251614668,-0.003022326088019533,Optical
temp_mean,0.07200639563632498,-0.003243758586824303,Climate
VH_mean,0.01453123591362406,-0.0037103407322385666,SAR_static
dewp_mean,0.05577189634082286,-0.003913746935644773,Climate
soilm_dry,0.022496985980789676,-0.004383517405415245,Climate
precip_dry,0.04000933282944169,-0.005276743641707169,Climate
soilm_wetdry,0.027652864769817747,-0.005287588543063016,Climate
VH_wetdry,0.027874507571241554,-0.0062952317842829035,SAR_phenology
VH_pha,0.02320895512092293,-0.007280945791894726,SAR_phenology
