system:index,mean_cloud,month,n_clear20,n_scenes,year,.geo
0,47.86223150403229,1.0,90,248,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,47.116076830434764,2.0,75,230,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,53.74456710566036,3.0,73,265,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,59.71797032083332,4.0,47,240,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,57.873845766666626,5.0,49,240,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,73.54668444769875,6.0,5,239,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,53.99110756504064,7.0,46,246,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,60.37229067871484,8.0,51,249,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,25.943192050209188,9.0,141,239,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,57.27305192338711,10.0,64,248,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,51.097550100386094,11.0,68,259,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,60.366007883018916,12.0,53,265,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,72.31141224583334,1.0,27,240,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,83.4787763482143,2.0,9,224,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,61.73423624905664,3.0,59,265,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,57.76853708333335,4.0,53,240,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,82.74778704583339,5.0,7,240,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,71.80258968803425,6.0,12,234,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,53.31340424796744,7.0,56,246,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,47.268369441767064,8.0,75,249,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,45.051162000000026,9.0,90,240,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,58.762989738775524,10.0,59,245,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,64.10003162248991,11.0,32,249,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,70.04746223018869,12.0,36,265,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,71.47965741249999,1.0,36,240,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,78.19265132599122,2.0,14,227,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,59.43374482264149,3.0,65,265,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,68.48092176068376,4.0,30,234,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,62.98147559836069,5.0,37,244,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,63.00712109166663,6.0,30,240,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,58.992876321138205,7.0,48,246,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,63.75223636213988,8.0,29,243,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,46.26935159836063,9.0,87,244,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,62.05789815163932,10.0,39,244,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,48.50001391235056,11.0,83,251,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,76.9014805056603,12.0,17,265,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,59.89029049583335,1.0,46,240,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,62.93517010384618,2.0,68,260,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,62.08801262916668,3.0,52,240,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,57.57473766260162,4.0,63,246,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,74.30052852032516,5.0,9,246,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,66.66401620634922,6.0,28,252,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,45.17253014285714,7.0,83,252,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,47.531466028455306,8.0,79,246,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,48.698917190677946,9.0,68,236,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,70.20697556296298,10.0,22,270,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,67.0882691302682,11.0,41,261,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,68.49827486567158,12.0,44,268,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,53.384366755725196,1.0,79,262,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,79.07698515283847,2.0,23,229,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,59.570549815686284,3.0,73,255,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,47.94307971717173,4.0,86,297,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,69.86358032484081,5.0,41,314,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,63.98585128947368,6.0,44,266,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,64.7494994790997,7.0,27,311,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,49.62048442857145,8.0,75,294,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,53.24586140952382,9.0,94,315,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,44.38251246052629,10.0,123,304,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,67.0045038878788,11.0,50,330,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,69.23339665682664,12.0,27,271,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
