ptid,cls,lon,lat,blk,fold
0,1,120.53074,22.9342,1205_254,3
1,1,120.44788,22.84315,1204_253,3
2,1,120.45233,22.86837,1204_254,0
3,1,120.77555,22.22966,1207_246,3
4,1,120.42454,22.91249,1204_254,0
5,1,120.42718,23.06622,1204_256,0
6,1,120.69278,22.558,1206_250,3
7,1,120.71291,22.72656,1207_252,4
8,1,120.66503,22.81742,1206_253,1
9,1,120.56628,22.98729,1205_255,2
10,1,120.76798,22.24507,1207_247,1
11,1,120.92604,22.48228,1209_249,1
12,1,120.49805,23.35766,1204_259,2
13,1,120.32722,22.81468,1203_253,2
14,1,120.68759,22.47134,1206_249,4
15,1,120.37545,22.74869,1203_252,3
16,1,120.44867,23.23036,1204_258,4
17,1,120.43738,22.81477,1204_253,3
18,1,120.71677,23.52079,1207_261,3
19,1,120.411,22.9313,1204_254,0
20,1,120.47932,22.90464,1204_254,0
21,1,120.40897,22.96751,1204_255,1
22,1,120.44276,22.92051,1204_254,0
23,1,121.14949,22.76665,1211_252,0
24,1,120.6848,23.06576,1206_256,4
25,1,120.45285,22.93878,1204_254,0
26,1,120.47275,23.01061,1204_255,1
27,1,120.42245,22.89995,1204_254,0
28,1,120.74275,23.60201,1207_262,0
29,1,120.66332,23.0285,1206_255,1
30,1,121.23425,24.08396,1212_267,0
31,1,120.46252,22.84041,1204_253,3
32,1,120.71536,22.68956,1207_252,4
33,1,120.66353,23.0297,1206_255,1
34,1,120.73299,22.69777,1207_252,4
35,1,120.46957,23.25929,1204_258,4
36,1,120.36155,22.77854,1203_253,2
37,1,120.44362,23.23743,1204_258,4
38,1,120.41452,23.1333,1204_257,3
39,1,120.71315,22.95525,1207_255,1
40,1,120.35514,22.84283,1203_253,2
41,1,120.76545,22.76328,1207_252,4
42,1,120.6805,22.35071,1206_248,1
43,1,120.66781,23.05723,1206_256,4
44,1,120.55983,23.05519,1205_256,3
45,1,120.45569,22.96754,1204_255,1
46,1,120.44057,22.92504,1204_254,0
47,1,120.43999,23.24109,1204_258,4
48,1,120.37686,22.81487,1203_253,2
49,1,120.42473,22.81732,1204_253,3
50,1,120.44814,22.9609,1204_255,1
51,1,120.59009,23.08149,1205_256,3
52,1,120.68257,22.9092,1206_254,2
53,1,120.76387,22.23258,1207_247,1
54,1,120.62864,22.6426,1206_251,1
55,1,121.03318,22.71779,1210_252,0
56,1,120.47394,23.0212,1204_255,1
57,1,120.48705,22.94804,1204_254,0
58,1,120.43369,23.17767,1204_257,3
59,1,120.81828,22.09393,1208_245,4
60,1,120.77175,22.88017,1207_254,0
61,1,120.65137,22.25912,1206_247,2
62,1,120.45338,22.86918,1204_254,0
63,1,120.38385,22.77834,1203_253,2
64,1,120.70414,22.68455,1207_252,4
65,1,120.8842,23.94545,1208_266,4
66,1,120.7887,22.10559,1207_245,4
67,1,120.45078,22.77529,1204_253,3
68,1,120.39446,22.84078,1203_253,2
69,1,120.58699,22.99289,1205_255,2
70,1,120.93962,22.46081,1209_249,1
71,1,120.76804,22.19781,1207_246,3
72,1,120.70782,22.8856,1207_254,0
73,1,120.38371,22.84863,1203_253,2
74,1,120.48685,23.35647,1204_259,2
75,1,120.44681,23.23925,1204_258,4
76,1,120.47986,23.21075,1204_257,3
77,1,120.49004,23.20075,1204_257,3
78,1,120.42548,22.94956,1204_254,0
79,1,120.43201,22.81791,1204_253,3
80,1,120.35981,22.84014,1203_253,2
81,1,120.42172,23.03895,1204_255,1
82,1,120.56837,23.0051,1205_255,2
83,1,120.66566,22.56491,1206_250,3
84,1,120.45749,22.86539,1204_254,0
85,1,120.71489,22.91071,1207_254,0
86,1,120.69977,22.76319,1206_252,0
87,1,120.59529,23.07296,1205_256,3
88,1,120.71535,22.10772,1207_245,4
89,1,120.39196,22.83288,1203_253,2
90,1,120.41551,22.96885,1204_255,1
91,1,120.47413,23.19609,1204_257,3
92,1,120.45366,22.96371,1204_255,1
93,1,120.7919,22.21845,1207_246,3
94,1,121.20752,23.06536,1212_256,0
95,1,120.44165,22.92543,1204_254,0
96,1,120.40918,22.96818,1204_255,1
97,1,120.68904,22.20753,1206_246,4
98,1,120.43983,23.23884,1204_258,4
99,1,120.53033,22.93393,1205_254,3
100,1,120.53477,22.94502,1205_254,3
101,1,120.46209,22.88609,1204_254,0
102,1,120.8103,22.05871,1208_245,4
103,1,120.42861,22.94204,1204_254,0
104,1,120.48999,22.93728,1204_254,0
105,1,120.47201,22.9615,1204_255,1
106,1,120.41093,22.94854,1204_254,0
107,1,120.36312,22.84561,1203_253,2
108,1,120.71489,22.08824,1207_245,4
109,1,120.47899,22.90764,1204_254,0
110,1,120.42377,22.96716,1204_255,1
111,1,120.40975,22.97049,1204_255,1
112,1,120.49285,23.37198,1204_259,2
113,1,120.75755,21.97706,1207_244,3
114,1,120.5732,22.99902,1205_255,2
115,1,120.37663,22.75397,1203_252,3
116,1,120.73924,22.96532,1207_255,1
117,1,120.37522,22.79596,1203_253,2
118,1,120.72082,23.30186,1207_258,3
119,1,120.6921,22.58889,1206_250,3
120,1,120.5923,23.00245,1205_255,2
121,1,120.46914,23.01606,1204_255,1
122,1,120.68703,22.92968,1206_254,2
123,1,120.38307,22.8018,1203_253,2
124,1,120.94906,22.47196,1209_249,1
